日期,计划id,计划名称,推广类型,省份,城市,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总收藏数,宝贝收藏数,店铺收藏数,总购物车数,直接购物车数,间接购物车数,加购成本,宝贝收藏成本,宝贝收藏转化率,加购率,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,总成交金额,直接成交金额,间接成交金额,总成交笔数,直接成交笔数,间接成交笔数,投入产出比,点击转化率,直接点击转化率
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,汉中,18,2,0.87,11.1111,0.44,48.33,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,宝鸡,11,2,0.82,18.1818,0.41,74.55,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,吕梁,15,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,晋中,28,2,0.73,7.1429,0.37,26.07,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,运城,14,1,0.45,7.1429,0.45,32.14,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,阳泉,3,1,0.43,33.3333,0.43,143.33,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,忻州,29,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,太原,44,5,1.15,11.3636,0.23,26.14,0,0,0,1,0,1,1.15,,0.0000,20.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,朔州,10,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,临汾,20,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,晋城,13,1,0.48,7.6923,0.48,36.92,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,大同,16,2,0.95,12.5000,0.48,59.38,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山西,长治,9,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,淄博,15,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,枣庄,12,2,0.61,16.6667,0.31,50.83,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,烟台,34,3,1.41,8.8235,0.47,41.47,0,0,0,3,3,0,0.47,,0.0000,100.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,潍坊,27,6,2.73,22.2222,0.46,101.11,0,0,0,1,1,0,2.73,,0.0000,16.6667,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,威海,9,1,0.48,11.1111,0.48,53.33,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,泰安,25,3,1.31,12.0000,0.44,52.40,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,日照,12,4,1.31,33.3333,0.33,109.17,1,0,1,0,0,0,,,0.0000,0.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,青岛,65,7,3.15,10.7692,0.45,48.46,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,临沂,50,7,1.70,14.0000,0.24,34.00,2,2,0,0,0,0,,0.85,28.5714,0.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,聊城,26,2,0.94,7.6923,0.47,36.15,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,济宁,46,4,0.92,8.6957,0.23,20.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,山东,济南,73,6,2.67,8.2192,0.45,36.58,,,,,,,,,,,,,,,,,,,,,,,,,
